Region,Date,PCP,TAVG,PDSI,PHDI,TMIN,TMAX,PDSI_POS
West,2014-01,0.53,44.8,-6.13,-6.13,31.9,57.6,2.23
West,2014-02,2.86,45.4,-6.36,-6.36,34.4,56.5,2
West,2014-03,2.35,49.3,-6.46,-6.46,37,61.6,1.9
West,2014-04,0.9,54.1,-6.43,-6.43,40.4,67.8,1.93
West,2014-05,0.54,61.6,-7.13,-7.13,47.2,76.1,1.23
West,2014-06,0.08,69.8,-8.1,-8.1,54.1,85.4,0.26
West,2014-07,0.45,77.4,-8.36,-8.36,62.6,92.2,0
West,2014-08,0.88,72.7,-7.27,-7.27,58.6,86.8,1.09
West,2014-09,0.91,69.5,-6.22,-6.22,55.1,83.8,2.14
West,2014-10,0.67,60.7,-6.09,-6.09,46.4,75,2.27
West,2014-11,1.38,48.3,-5.92,-5.92,36.5,60.1,2.44
West,2014-12,4.25,42.2,-4.85,-4.85,33.8,50.6,3.51
West,2015-01,0.59,44.2,-5.58,-5.58,33.1,55.2,2.78
West,2015-02,1.92,48.9,-5.82,-5.82,36.7,61.2,2.54
West,2015-03,0.62,53.1,-6.74,-6.74,39.4,66.7,1.62
West,2015-04,0.91,53,-6.66,-6.66,39,67,1.7
West,2015-05,1.42,58.6,-6.15,-6.15,46.2,71,2.21
West,2015-06,0.36,73,-6.6,-6.6,57.8,88.1,1.76
West,2015-07,0.89,73.3,-6.26,-6.26,59.4,87.2,2.1
West,2015-08,0.25,74.9,-6.04,-6.04,59.9,89.9,2.32
West,2015-09,0.33,69.6,-5.73,-5.73,54.8,84.3,2.63
West,2015-10,1.28,61.4,-5.23,-5.23,48.9,73.8,3.13
West,2015-11,1.63,42.8,-4.8,-4.8,31.5,54.1,3.56
West,2015-12,3.31,37.5,-4.03,-4.03,27.9,47.2,4.33
West,2016-01,4.47,39,-2.77,-2.77,30.2,47.8,5.59
West,2016-02,0.91,46.1,-3.2,-3.2,33.6,58.6,5.16
West,2016-03,3.28,49.1,-2.45,-2.45,37.4,60.7,5.91
West,2016-04,1.55,54.7,-2.23,-2.23,42.1,67.3,6.13
West,2016-05,0.86,59.3,-1.93,-1.93,46.5,72,6.43
West,2016-06,0.34,71.9,-1.79,-1.79,56.4,87.4,6.57
West,2016-07,0.12,75.5,-2.24,-2.24,59.7,91.4,6.12
West,2016-08,0.17,74.5,-2.52,-2.52,58.9,90.2,5.84
West,2016-09,0.31,66.5,-2.52,-2.52,51.5,81.5,5.84
West,2016-10,2.81,57.5,1.23,-1.03,45.2,69.7,9.59
West,2016-11,1.47,48.8,0.75,-1.28,37.1,60.5,9.11
West,2016-12,3.45,38.1,0.99,-0.83,28,48.2,9.35
West,2017-01,7.02,36.8,3.04,3.04,28.3,45.2,11.4
West,2017-02,5.31,43.5,4.15,4.15,34.9,52.1,12.51
West,2017-03,1.9,50.2,-0.36,3.36,37.9,62.4,8
West,2017-04,2.08,52.1,0.42,3.43,39.7,64.5,8.78
West,2017-05,0.47,60.8,-0.23,2.85,46.7,75,8.13
West,2017-06,0.37,71.1,-0.25,2.51,55.9,86.2,8.11
West,2017-07,0.31,77.7,-0.67,1.81,62.4,93.1,7.69
West,2017-08,0.42,76.1,-0.89,1.33,61.4,90.7,7.47
West,2017-09,0.65,66.5,-0.69,1.3,52.8,80.2,7.67
West,2017-10,0.27,57.2,-1.27,-1.27,42.1,72.3,7.09
West,2017-11,2.11,49.7,-1.26,-1.26,38.5,60.8,7.1
West,2017-12,0.26,42.2,-2.44,-2.44,29.5,55,5.92
West,2018-01,2.35,44.6,-3.15,-3.15,34.2,54.9,5.21
West,2018-02,0.51,41.2,-4.27,-4.27,28.7,53.7,4.09
